"number","date_time","acc_x","acc_y","acc_z","datetime","v_x","v_y","v_z","v_total","v_x_smooth","v_y_smooth","v_z_smooth","v_total_smooth"
93,"11/22/24 05:00:00 PM",-10.3005,-1.71675,0.73575,2024-11-22 17:00:00,-791409.4875,-170510.0625,131331.375,820152.783558135,-792121.827272727,-169657.261363636,129866.563636364,820432.874127787
94,"11/22/24 05:15:00 PM",-10.54575,-1.962,0.73575,2024-11-22 17:15:00,-800790.3,-172165.5,131993.55,829655.567814706,-801021.057954545,-171794.280681818,131231.045454545,829682.601864316
95,"11/22/24 05:30:00 PM",-10.05525,-1.71675,0.73575,2024-11-22 17:30:00,-810060.75,-173820.9375,132655.725,839052.845999116,-810020.618181818,-173740.673863636,132465.098863636,838969.995775017
96,"11/22/24 05:45:00 PM",-10.05525,-2.20725,0.981,2024-11-22 17:45:00,-819110.475,-175586.7375,133428.2625,848278.1229493,-819140.573863636,-175476.375,133498.493181818,848298.543654287
97,"11/22/24 06:00:00 PM",-10.3005,-1.22625,0.73575,2024-11-22 18:00:00,-828270.5625,-177131.8125,134200.8,857564.958719887,-828300.661363636,-177141.845454545,134371.360227273,857626.031375662
98,"11/22/24 06:15:00 PM",-10.3005,-2.20725,0.73575,2024-11-22 18:15:00,-837541.0125,-178676.8875,134862.975,866941.981779671,-837480.814772727,-178737.085227273,135184.029545455,866949.215447986
99,"11/22/24 06:30:00 PM",-10.3005,-1.962,1.22625,2024-11-22 18:30:00,-846811.4625,-180553.05,135745.875,876422.272346616,-846660.968181818,-180312.259090909,136016.764772727,876272.049257685
100,"11/22/24 06:45:00 PM",-10.05525,-1.71675,1.22625,2024-11-22 18:45:00,-855971.55,-182208.4875,136849.5,885784.969942869,-855800.989772727,-181867.367045455,136869.565909091,885555.759337587
101,"11/22/24 07:00:00 PM",-10.05525,-1.71675,0.981,2024-11-22 19:00:00,-865021.275,-183753.5625,137842.7625,895001.567097901,-864941.011363636,-183442.540909091,137742.432954545,894847.241532566
102,"11/22/24 07:15:00 PM",-10.05525,-1.4715,0.73575,2024-11-22 19:15:00,-874071,-185188.275,138615.3,904162.049431718,-874121.164772727,-185037.780681818,138635.365909091,904185.124972828
103,"11/22/24 07:30:00 PM",-10.3005,-1.4715,1.22625,2024-11-22 19:30:00,-883231.0875,-186512.625,139498.2,913424.250287928,-883311.351136363,-186633.020454545,139538.331818182,913534.770250172
104,"11/22/24 07:45:00 PM",-10.05525,-1.4715,0.981,2024-11-22 19:45:00,-892391.175,-187836.975,140491.4625,922703.955464817,-892491.504545454,-188238.293181818,140431.264772727,922875.844570881
105,"11/22/24 08:00:00 PM",-9.81,-1.71675,0.981,2024-11-22 20:00:00,-901330.5375,-189271.6875,141374.3625,931776.378693632,-901671.657954545,-189843.565909091,141284.065909091,932211.317179727
106,"11/22/24 08:15:00 PM",-10.791,-2.4525,0.981,2024-11-22 20:15:00,-910600.9875,-191147.85,142257.2625,941259.150143886,-910871.877272727,-191448.838636364,142086.702272727,941559.097787442
107,"11/22/24 08:30:00 PM",-10.3005,-1.962,1.22625,2024-11-22 20:30:00,-920092.1625,-193134.375,143250.525,950994.840792179,-920092.1625,-193064.144318182,142849.206818182,950922.828205908
108,"11/22/24 08:45:00 PM",-10.3005,-1.4715,0.73575,2024-11-22 20:45:00,-929362.6125,-194679.45,144133.425,960411.056770672,-929322.480681818,-194709.548863636,143571.579545455,960297.064836912
109,"11/22/24 09:00:00 PM",-10.05525,-2.20725,0.4905,2024-11-22 21:00:00,-938522.7,-196334.8875,144685.2375,969693.799307471,-938532.732954545,-196395.085227273,144243.7875,969653.219752241
110,"11/22/24 09:15:00 PM",-10.54575,-1.962,0.4905,2024-11-22 21:15:00,-947793.15,-198211.05,145126.6875,979112.471043928,-947722.919318182,-198120.753409091,144885.896590909,978994.116218891
