"Plot Title: mill_meso_T2_high"
"#","Date Time, GMT+01:00","X Accel, g (LGR S/N: 21820144, SEN S/N: 21820144)","Coupler Detached (LGR S/N: 21820144)","Coupler Attached (LGR S/N: 21820144)","Host Connected (LGR S/N: 21820144)","Stopped (LGR S/N: 21820144)","End Of File (LGR S/N: 21820144)"
436,30/06/25 13:12:07,-1.050,,,,,
437,30/06/25 13:12:08,-1.100,,,,,
438,30/06/25 13:12:09,-1.050,,,,,
439,30/06/25 13:12:10,-1.050,,,,,
440,30/06/25 13:12:11,-1.100,,,,,
441,30/06/25 13:12:12,-1.100,,,,,
442,30/06/25 13:12:13,-1.050,,,,,
443,30/06/25 13:12:14,-1.100,,,,,
444,30/06/25 13:12:15,-1.100,,,,,
445,30/06/25 13:12:16,-1.100,,,,,
446,30/06/25 13:12:17,-1.050,,,,,
447,30/06/25 13:12:18,-1.050,,,,,
448,30/06/25 13:12:19,-1.050,,,,,
449,30/06/25 13:12:20,-1.050,,,,,
450,30/06/25 13:12:21,-1.100,,,,,
451,30/06/25 13:12:22,-1.050,,,,,
452,30/06/25 13:12:23,-1.100,,,,,
453,30/06/25 13:12:24,-1.100,,,,,
454,30/06/25 13:12:25,-1.100,,,,,
455,30/06/25 13:12:26,-1.100,,,,,
456,30/06/25 13:12:27,-1.050,,,,,
457,30/06/25 13:12:28,-1.100,,,,,
458,30/06/25 13:12:29,-1.050,,,,,
459,30/06/25 13:12:30,-1.100,,,,,
460,30/06/25 13:12:31,-1.050,,,,,
461,30/06/25 13:12:32,-1.050,,,,,
462,30/06/25 13:12:33,-1.100,,,,,
463,30/06/25 13:12:34,-1.050,,,,,
464,30/06/25 13:12:35,-1.100,,,,,
465,30/06/25 13:12:36,-1.050,,,,,
466,30/06/25 13:12:37,-1.050,,,,,
467,30/06/25 13:12:38,-1.050,,,,,
468,30/06/25 13:12:39,-1.100,,,,,
469,30/06/25 13:12:40,-1.100,,,,,
470,30/06/25 13:12:41,-1.050,,,,,
471,30/06/25 13:12:42,-1.100,,,,,
472,30/06/25 13:12:43,-1.100,,,,,
473,30/06/25 13:12:44,-1.100,,,,,
474,30/06/25 13:12:45,-1.100,,,,,
475,30/06/25 13:12:46,-1.050,,,,,
476,30/06/25 13:12:47,-1.100,,,,,
477,30/06/25 13:12:48,-1.100,,,,,
478,30/06/25 13:12:49,-1.100,,,,,
479,30/06/25 13:12:50,-1.050,,,,,
480,30/06/25 13:12:51,-1.100,,,,,
481,30/06/25 13:12:52,-1.050,,,,,
482,30/06/25 13:12:53,-1.100,,,,,
483,30/06/25 13:12:54,-1.100,,,,,
484,30/06/25 13:12:55,-1.050,,,,,
485,30/06/25 13:12:56,-1.100,,,,,
486,30/06/25 13:12:57,-1.050,,,,,
487,30/06/25 13:12:58,-1.050,,,,,
488,30/06/25 13:12:59,-1.100,,,,,
489,30/06/25 13:13:00,-1.050,,,,,
490,30/06/25 13:13:01,-1.050,,,,,
491,30/06/25 13:13:02,-1.100,,,,,
492,30/06/25 13:13:03,-1.100,,,,,
493,30/06/25 13:13:04,-1.050,,,,,
494,30/06/25 13:13:05,-1.100,,,,,
495,30/06/25 13:13:06,-1.050,,,,,
496,30/06/25 13:13:07,-1.100,,,,,
497,30/06/25 13:13:08,-1.050,,,,,
498,30/06/25 13:13:09,-1.100,,,,,
499,30/06/25 13:13:10,-1.100,,,,,
500,30/06/25 13:13:11,-1.050,,,,,
501,30/06/25 13:13:12,-1.100,,,,,
502,30/06/25 13:13:13,-1.050,,,,,
503,30/06/25 13:13:14,-1.050,,,,,
504,30/06/25 13:13:15,-1.100,,,,,
505,30/06/25 13:13:16,-1.050,,,,,
506,30/06/25 13:13:17,-1.100,,,,,
507,30/06/25 13:13:18,-1.050,,,,,
508,30/06/25 13:13:19,-1.050,,,,,
509,30/06/25 13:13:20,-1.050,,,,,
510,30/06/25 13:13:21,-1.100,,,,,
511,30/06/25 13:13:22,-1.100,,,,,
512,30/06/25 13:13:23,-1.100,,,,,
513,30/06/25 13:13:24,-1.050,,,,,
514,30/06/25 13:13:25,-1.100,,,,,
515,30/06/25 13:13:26,-1.050,,,,,
516,30/06/25 13:13:27,-1.050,,,,,
517,30/06/25 13:13:28,-1.100,,,,,
518,30/06/25 13:13:29,-1.100,,,,,
519,30/06/25 13:13:30,-1.100,,,,,
520,30/06/25 13:13:31,-1.100,,,,,
521,30/06/25 13:13:32,-1.100,,,,,
522,30/06/25 13:13:33,-1.050,,,,,
523,30/06/25 13:13:34,-1.100,,,,,
524,30/06/25 13:13:35,-1.100,,,,,
525,30/06/25 13:13:36,-1.100,,,,,
526,30/06/25 13:13:37,-1.100,,,,,
527,30/06/25 13:13:38,-1.100,,,,,
528,30/06/25 13:13:39,-1.100,,,,,
529,30/06/25 13:13:40,-1.100,,,,,
530,30/06/25 13:13:41,-1.050,,,,,
531,30/06/25 13:13:42,-1.100,,,,,
532,30/06/25 13:13:43,-1.050,,,,,
533,30/06/25 13:13:44,-1.050,,,,,
534,30/06/25 13:13:45,-1.100,,,,,
535,30/06/25 13:13:46,-1.050,,,,,
536,30/06/25 13:13:47,-1.100,,,,,
537,30/06/25 13:13:48,-1.050,,,,,
538,30/06/25 13:13:49,-1.050,,,,,
539,30/06/25 13:13:50,-1.050,,,,,
540,30/06/25 13:13:51,-1.050,,,,,
541,30/06/25 13:13:52,-1.050,,,,,
542,30/06/25 13:13:53,-1.050,,,,,
543,30/06/25 13:13:54,-1.050,,,,,
544,30/06/25 13:13:55,-1.050,,,,,
545,30/06/25 13:13:56,-1.050,,,,,
546,30/06/25 13:13:57,-1.100,,,,,
547,30/06/25 13:13:58,-1.050,,,,,
548,30/06/25 13:13:59,-1.050,,,,,
549,30/06/25 13:14:00,-1.050,,,,,
