"Plot Title: 21820136_Pendant1"
"#","Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Y Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Z Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","End Of File (LGR S/N: 21820136)"
290,11/22/24 06:05:00 PM,-1.075,-0.225,0.100,
291,11/22/24 06:10:00 PM,-1.025,-0.175,0.125,
292,11/22/24 06:15:00 PM,-1.075,-0.225,0.100,
293,11/22/24 06:20:00 PM,-1.075,-0.225,0.125,
294,11/22/24 06:25:00 PM,-1.050,-0.225,0.125,
295,11/22/24 06:30:00 PM,-1.025,-0.200,0.125,
296,11/22/24 06:35:00 PM,-1.025,-0.175,0.125,
297,11/22/24 06:40:00 PM,-1.025,-0.225,0.125,
298,11/22/24 06:45:00 PM,-1.025,-0.200,0.150,
299,11/22/24 06:50:00 PM,-1.025,-0.200,0.150,
300,11/22/24 06:55:00 PM,-1.025,-0.200,0.125,
301,11/22/24 07:00:00 PM,-1.075,-0.150,0.150,
302,11/22/24 07:05:00 PM,-1.025,-0.150,0.150,
303,11/22/24 07:10:00 PM,-1.050,-0.225,0.125,
304,11/22/24 07:15:00 PM,-1.025,-0.225,0.125,
305,11/22/24 07:20:00 PM,-1.075,-0.175,0.100,
306,11/22/24 07:25:00 PM,-1.050,-0.200,0.100,
307,11/22/24 07:30:00 PM,-1.100,-0.175,0.100,
308,11/22/24 07:35:00 PM,-1.075,-0.175,0.125,
309,11/22/24 07:40:00 PM,-1.050,-0.175,0.125,
310,11/22/24 07:45:00 PM,-1.075,-0.200,0.125,
311,11/22/24 07:50:00 PM,-1.025,-0.300,0.225,
312,11/22/24 07:55:00 PM,-1.075,-0.200,0.125,
313,11/22/24 08:00:00 PM,-1.050,-0.150,0.125,
314,11/22/24 08:05:00 PM,-1.075,-0.200,0.025,
315,11/22/24 08:10:00 PM,-1.025,-0.325,0.175,
316,11/22/24 08:15:00 PM,-1.075,-0.175,0.075,
317,11/22/24 08:20:00 PM,-1.050,-0.100,0.150,
318,11/22/24 08:25:00 PM,-1.050,-0.175,0.100,
319,11/22/24 08:30:00 PM,-1.025,-0.225,0.125,
320,11/22/24 08:35:00 PM,-1.075,-0.200,0.125,
321,11/22/24 08:40:00 PM,-1.050,-0.200,0.075,
322,11/22/24 08:45:00 PM,-1.050,-0.175,0.100,
323,11/22/24 08:50:00 PM,-1.050,-0.150,0.125,
324,11/22/24 08:55:00 PM,-1.025,-0.200,0.125,
325,11/22/24 09:00:00 PM,-1.025,-0.225,0.100,
326,11/22/24 09:05:00 PM,-1.025,-0.150,0.125,
327,11/22/24 09:10:00 PM,-1.025,-0.200,0.100,
328,11/22/24 09:15:00 PM,-1.025,-0.175,0.125,
329,11/22/24 09:20:00 PM,-1.075,-0.200,0.075,
330,11/22/24 09:25:00 PM,-1.075,-0.225,0.125,
331,11/22/24 09:30:00 PM,-1.025,-0.175,0.100,
332,11/22/24 09:35:00 PM,-1.050,-0.175,0.125,
333,11/22/24 09:40:00 PM,-1.025,-0.175,0.100,
334,11/22/24 09:45:00 PM,-1.025,-0.150,0.075,
335,11/22/24 09:50:00 PM,-1.025,-0.125,0.125,
336,11/22/24 09:55:00 PM,-1.075,-0.200,0.100,
337,11/22/24 10:00:00 PM,-1.025,-0.200,0.100,
338,11/22/24 10:05:00 PM,-1.025,-0.225,0.100,
339,11/22/24 10:10:00 PM,-1.025,-0.150,0.075,
340,11/22/24 10:15:00 PM,-1.075,-0.175,0.075,
341,11/22/24 10:20:00 PM,-1.025,-0.225,0.075,
342,11/22/24 10:25:00 PM,-1.050,-0.200,0.075,
343,11/22/24 10:30:00 PM,-1.075,-0.175,0.100,
344,11/22/24 10:35:00 PM,-1.025,-0.200,0.025,
345,11/22/24 10:40:00 PM,-1.075,-0.200,0.075,
346,11/22/24 10:45:00 PM,-1.025,-0.175,0.025,
347,11/22/24 10:50:00 PM,-1.025,-0.150,0.050,
348,11/22/24 10:55:00 PM,-1.125,-0.275,0.075,
349,11/22/24 11:00:00 PM,-1.075,-0.200,0.075,
350,11/22/24 11:05:00 PM,-1.075,-0.250,0.075,
351,11/22/24 11:10:00 PM,-1.050,-0.200,0.100,
352,11/22/24 11:15:00 PM,-1.100,-0.225,0.125,
353,11/22/24 11:20:00 PM,-1.025,-0.175,0.075,
354,11/22/24 11:25:00 PM,-1.025,-0.125,0.075,
355,11/22/24 11:30:00 PM,-1.025,-0.200,0.075,
356,11/22/24 11:35:00 PM,-1.050,-0.225,0.075,
357,11/22/24 11:40:00 PM,-1.025,-0.125,0.125,
358,11/22/24 11:45:00 PM,-1.075,-0.200,0.050,
359,11/22/24 11:50:00 PM,-1.000,-0.125,0.050,
360,11/22/24 11:55:00 PM,-1.025,-0.125,0.100,
361,11/23/24 12:00:00 AM,-1.050,-0.225,0.075,
362,11/23/24 12:05:00 AM,-1.025,-0.125,0.075,
363,11/23/24 12:10:00 AM,-1.100,-0.225,0.125,
364,11/23/24 12:15:00 AM,-1.025,-0.200,0.125,
365,11/23/24 12:20:00 AM,-1.025,-0.175,0.050,
366,11/23/24 12:25:00 AM,-1.025,-0.250,-0.025,
367,11/23/24 12:30:00 AM,-1.025,-0.475,0.125,
368,11/23/24 12:35:00 AM,-1.025,-0.200,0.075,
369,11/23/24 12:40:00 AM,-1.075,-0.250,0.075,
370,11/23/24 12:45:00 AM,-1.050,-0.225,0.000,
371,11/23/24 12:50:00 AM,-1.025,-0.200,0.050,
372,11/23/24 12:55:00 AM,-1.050,-0.150,-0.025,
373,11/23/24 01:00:00 AM,-1.075,-0.200,0.050,
374,11/23/24 01:05:00 AM,-1.075,-0.175,0.025,
375,11/23/24 01:10:00 AM,-1.075,-0.250,0.075,
376,11/23/24 01:15:00 AM,-1.050,-0.300,0.100,
377,11/23/24 01:20:00 AM,-1.100,-0.175,0.025,
378,11/23/24 01:25:00 AM,-1.025,-0.225,-0.025,
379,11/23/24 01:30:00 AM,-1.125,-0.225,0.050,
380,11/23/24 01:35:00 AM,-1.050,-0.200,0.000,
381,11/23/24 01:40:00 AM,-1.025,-0.200,0.100,
382,11/23/24 01:45:00 AM,-1.075,-0.275,0.050,
383,11/23/24 01:50:00 AM,-1.025,-0.250,-0.075,
384,11/23/24 01:55:00 AM,-1.050,-0.200,0.025,
385,11/23/24 02:00:00 AM,-1.025,-0.175,0.125,
386,11/23/24 02:05:00 AM,-1.025,-0.175,-0.025,
387,11/23/24 02:10:00 AM,-1.000,-0.250,0.025,
388,11/23/24 02:15:00 AM,-1.050,-0.325,-0.175,
389,11/23/24 02:20:00 AM,-1.025,-0.275,0.025,
390,11/23/24 02:25:00 AM,-1.025,-0.175,-0.100,
391,11/23/24 02:30:00 AM,-0.950,0.000,-0.075,
